≺1:ln01: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln02: aa,   ddd1,'  bb,   ccc,   ddd2',   eee,   f,  
≺1:ln03: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln04: aa,   ddd1,'  bb,   ccc,   ddd2',   eee,   f,  
≺1:ln05: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln06: aa,   ddd1,'  bb,   ccc,   ddd2',   eee,   f,  
≺1:ln07: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln08: aa,   ddd1,'  bb,   ccc,   ddd2',   eee,   f,  
ln09: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln10: aa,   ddd3,   bb,   ccc,   ddd44,   eee,"  f,  
ln11: a",   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln12: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln13: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln14: aa,   ddd3,   bb,   ccc,   ddd44,   eee,"  f,  
ln15: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln16: a",   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln17: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln18: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln19: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
≺1:ln20: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln21: aa,   ddd1,'  bb,   ccc,   ddd2',   eee,   f,  
≺1:ln22: aa,   ddd≻,--removed_multiline_quotation--,≺2:   ee',   f,  ≻
ln23: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln24: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln25: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
ln26: aa,   ddd3,   bb,   ccc,   ddd44,   eee,   f,  
Downloaded Data (x. Prefix)
Controlled Text for Testing RegEx Captures
