Jgtgtan 10, 1990 04.00; CDT America/Chicago;
Jan 11, 1991 04.01; CDT America/Chicago;
Jan 12, 1992 04.52; CDT America/Chicago;
Jan 13, 1993 04.53; CDT America/Chicago;
Jan 14, 1994 04.54; CDT America/Chicago;
Jan 15, 1995 04.55; CDT America/Chicago;
Jan 16, 1996 04.56; CDT America/Chicago;
Jan 16, 1996 04.56; CDT America/Chicago;
Jan 17, 1997 04.07; CDT America/Chicago;
Jan 18, 1998 04.08; CDT America/Chicago;
Jan 19, 1999 04.09; CDT America/Chicago;
Jan 20, 2000 04.10; CDT America/Chicago;
Jan 21, 2211 04.11; CDT America/Chicago;
Jan 22, 2212 04.12; CDT America/Chicago;
Jan 23, 2213 04.13; CDT America/Chicago;
Jan 24, 2214 04.14; CDT America/Chicago;
Jan 25, 2215 04.15; CDT America/Chicago;
Feb 26, 2216 04.16; CDT America/Chicago;
Feb 10, 1990 04.00; CDT America/Chicago;
Feb 11, 1991 04.01; CDT America/Chicago;
Feb 12, 1992 04.02; CDT America/Chicago;
Feb 13, 1993 04.03; CDT America/Chicago;
Feb 14, 1994 00.04; CDT America/Chicago;
Feb 15, 1995 00.05; CDT America/Chicago;
Feb 16, 1996 00.06; CDT America/Chicago;
Feb 16, 1996 00.06; CDT America/Chicago;
Feb 17, 1997 01.07; CDT America/Chicago;
Feb 18, 1998 01.08; CDT America/Chicago;
Feb 19, 1999 01.09; CDT America/Chicago;
Feb 20, 2000 01.10; CDT America/Chicago;
Feb 21, 2211 01.11; CDT America/Chicago;
Feb 22, 2212 01.12; CDT America/Chicago;
Feb 23, 2213 01.13; CDT America/Chicago;
Feb 24, 2214 01.14; CDT America/Chicago;
Mar 25, 2215 01.15; CDT America/Chicago;
Mar 26, 2216 01.16; CDT America/Chicago;
Mar 10, 1990 01.00; CDT America/Chicago;
Mar 11, 1991 01.01; CDT America/Chicago;
Mar 12, 1992 01.02; CDT America/Chicago;
Mar 13, 1993 01.03; CDT America/Chicago;
Mar 14, 1994 01.04; CDT America/Chicago;
Mar 15, 1995 01.05; CDT America/Chicago;
Mar 16, 1996 01.06; CDT America/Chicago;
Mar 16, 1996 01.06; CDT America/Chicago;
Mar 17, 1997 03.07; CDT America/Chicago;
Mar 18, 1998 03.08; CDT America/Chicago;
Mar 19, 1999 03.09; CDT America/Chicago;
Mar 20, 2000 03.10; CDT America/Chicago;
Apr 21, 2211 03.11; CDT America/Chicago;
Apr 22, 2212 03.12; CDT America/Chicago;
Apr 23, 2213 03.13; CDT America/Chicago;
Apr 24, 2214 03.14; CDT America/Chicago;
Apr 25, 2215 03.15; CDT America/Chicago;
Apr 26, 2216 03.16; CDT America/Chicago;
Apr 10, 1990 03.00; CDT America/Chicago;
Apr 11, 1991 03.01; CDT America/Chicago;
Apr 12, 1992 03.02; CDT America/Chicago;
Apr 13, 1993 03.03; CDT America/Chicago;
Apr 14, 1994 03.04; CDT America/Chicago;
Apr 15, 1995 03.05; CDT America/Chicago;
Apr 16, 1996 03.06; CDT America/Chicago;
Apr 16, 1996 03.06; CDT America/Chicago;
Apr 17, 1997 03.07; CDT America/Chicago;
Apr 18, 1998 03.08; CDT America/Chicago;
Apr 19, 1999 03.09; CDT America/Chicago;
Apr 20, 2000 03.10; CDT America/Chicago;
Apr 21, 2211 03.11; CDT America/Chicago;
Apr 22, 2212 07.12; CDT America/Chicago;
Apr 23, 2213 07.13; CDT America/Chicago;
Apr 24, 2214 07.14; CDT America/Chicago;
Apr 25, 2215 07.15; CDT America/Chicago;
Apr 26, 2216 07.16; CDT America/Chicago;
Apr 10, 1990 07.00; CDT America/Chicago;
Apr 11, 1991 07.01; CDT America/Chicago;
Apr 12, 1992 07.02; CDT America/Chicago;
Apr 13, 1993 07.43; CDT America/Chicago;
Apr 14, 1994 07.44; CDT America/Chicago;
Apr 15, 1995 07.45; CDT America/Chicago;
Apr 16, 1996 07.46; CDT America/Chicago;
Apr 16, 1996 07.46; CDT America/Chicago;
Apr 17, 1997 07.47; CDT America/Chicago;
Apr 18, 1998 07.48; CDT America/Chicago;
Apr 19, 1999 07.09; CDT America/Chicago;
Apr 20, 2000 07.10; CDT America/Chicago;
May 21, 2211 07.11; CDT America/Chicago;
May 22, 2212 07.12; CDT America/Chicago;
May 23, 2213 07.13; CDT America/Chicago;
May 24, 2214 07.14; CDT America/Chicago;
May 25, 2215 07.15; CDT America/Chicago;
May 26, 2216 07.16; CDT America/Chicago;
May 10, 1990 07.00; CDT America/Chicago;
May 11, 1991 07.01; CDT America/Chicago;
May 12, 1992 07.02; CDT America/Chicago;
May 13, 1993 09.03; CDT America/Chicago;
May 14, 1994 09.04; CDT America/Chicago;
May 15, 1995 09.05; CDT America/Chicago;
May 16, 1996 09.06; CDT America/Chicago;
May 16, 1996 09.06; CDT America/Chicago;
May 17, 1997 09.07; CDT America/Chicago;
May 18, 1998 09.08; CDT America/Chicago;
Jun 19, 1999 09.09; CDT America/Chicago;
Jun 20, 2000 09.10; CDT America/Chicago;
Jun 21, 2211 09.11; CDT America/Chicago;
Jun 22, 2212 09.12; CDT America/Chicago;
Jun 23, 2213 09.13; CDT America/Chicago;
Jun 24, 2214 09.14; CDT America/Chicago;
Jun 25, 2215 09.15; CDT America/Chicago;
Jun 26, 2216 09.16; CDT America/Chicago;
Jun 10, 1990 09.00; CDT America/Chicago;
Jun 11, 1991 09.01; CDT America/Chicago;
Jun 12, 1992 09.02; CDT America/Chicago;
Jun 13, 1993 09.03; CDT America/Chicago;
Jun 14, 1994 09.04; CDT America/Chicago;
Jun 15, 1995 09.05; CDT America/Chicago;
Jun 16, 1996 09.06; CDT America/Chicago;
Jun 16, 1996 09.06; CDT America/Chicago;
Jun 17, 1997 09.07; CDT America/Chicago;
Jun 18, 1998 09.08; CDT America/Chicago;
Jun 19, 1999 09.09; CDT America/Chicago;
Jun 20, 2000 09.10; CDT America/Chicago;
Jun 21, 2211 09.11; CDT America/Chicago;
Jun 22, 2212 09.12; CDT America/Chicago;
Jul 23, 2213 09.13; CDT America/Chicago;
Jul 24, 2214 09.14; CDT America/Chicago;
Jul 25, 2215 08.15; CDT America/Chicago;
Jul 26, 2216 08.16; CDT America/Chicago;
Jul 10, 1990 08.00; CDT America/Chicago;
Jul 11, 1991 08.01; CDT America/Chicago;
Jul 12, 1992 08.02; CDT America/Chicago;
Jul 13, 1993 08.03; CDT America/Chicago;
Jul 14, 1994 08.04; CDT America/Chicago;
Jul 15, 1995 08.05; CDT America/Chicago;
Jul 16, 1996 08.06; CDT America/Chicago;
Jul 16, 1996 08.06; CDT America/Chicago;
Jul 17, 1997 08.07; CDT America/Chicago;
Jul 18, 1998 08.08; CDT America/Chicago;
Jul 19, 1999 08.09; CDT America/Chicago;
Jul 20, 2000 08.10; CDT America/Chicago;
Jul 21, 2211 08.11; CDT America/Chicago;
