Jan 10 1990 04.00, 1990-01-10 04:00:00,
Jan 11 1991 04.01, 1991-01-11 04:01:00,
Jan 12 1992 04.52, 1992-01-12 04:52:00,
Jan 13 1993 04.53, 1993-01-13 04:53:00,
Jan 14 1994 04.54, 1994-01-14 04:54:00,
Jan 15 1995 04.55, 1995-01-15 04:55:00,
Jan 16 1996 04.56, 1996-01-16 04:56:00,
Jan 16 1996 04.56, 1996-01-16 04:56:00,
Jan 17 1997 04.07, 1997-01-17 04:07:00,
Jan 18 1998 04.08, 1998-01-18 04:08:00,
Jan 19 1999 04.09, 1999-01-19 04:09:00,
Jan 20 2000 04.10, 2000-01-20 04:10:00,
Jan 21 2211 04.11, 2211-01-21 04:11:00,
Jan 22 2212 04.12, 2212-01-22 04:12:00,
Jan 23 2213 04.13, 2213-01-23 04:13:00,
Jan 24 2214 04.14, 2214-01-24 04:14:00,
Jan 25 2215 04.15, 2215-01-25 04:15:00,
Feb 26 2216 04.16, 2216-02-26 04:16:00,
Feb 10 1990 04.00, 1990-02-10 04:00:00,
Feb 11 1991 04.01, 1991-02-11 04:01:00,
Feb 12 1992 04.02, 1992-02-12 04:02:00,
Feb 13 1993 04.03, 1993-02-13 04:03:00,
Feb 14 1994 00.04, 1994-02-14 00:04:00,
Feb 15 1995 00.05, 1995-02-15 00:05:00,
Feb 16 1996 00.06, 1996-02-16 00:06:00,
Feb 16 1996 00.06, 1996-02-16 00:06:00,
Feb 17 1997 01.07, 1997-02-17 01:07:00,
Feb 18 1998 01.08, 1998-02-18 01:08:00,
Feb 19 1999 01.09, 1999-02-19 01:09:00,
Feb 20 2000 01.10, 2000-02-20 01:10:00,
Feb 21 2211 01.11, 2211-02-21 01:11:00,
Feb 22 2212 01.12, 2212-02-22 01:12:00,
Feb 23 2213 01.13, 2213-02-23 01:13:00,
Feb 24 2214 01.14, 2214-02-24 01:14:00,
Mar 25 2215 01.15, 2215-03-25 01:15:00,
Mar 26 2216 01.16, 2216-03-26 01:16:00,
Mar 10 1990 01.00, 1990-03-10 01:00:00,
Mar 11 1991 01.01, 1991-03-11 01:01:00,
Mar 12 1992 01.02, 1992-03-12 01:02:00,
Mar 13 1993 01.03, 1993-03-13 01:03:00,
Mar 14 1994 01.04, 1994-03-14 01:04:00,
Mar 15 1995 01.05, 1995-03-15 01:05:00,
Mar 16 1996 01.06, 1996-03-16 01:06:00,
Mar 16 1996 01.06, 1996-03-16 01:06:00,
Mar 17 1997 03.07, 1997-03-17 03:07:00,
Mar 18 1998 03.08, 1998-03-18 03:08:00,
Mar 19 1999 03.09, 1999-03-19 03:09:00,
Mar 20 2000 03.10, 2000-03-20 03:10:00,
Apr 21 2211 03.11, 2211-04-21 03:11:00,
Apr 22 2212 03.12, 2212-04-22 03:12:00,
Apr 23 2213 03.13, 2213-04-23 03:13:00,
Apr 24 2214 03.14, 2214-04-24 03:14:00,
Apr 25 2215 03.15, 2215-04-25 03:15:00,
Apr 26 2216 03.16, 2216-04-26 03:16:00,
Apr 10 1990 03.00, 1990-04-10 03:00:00,
Apr 11 1991 03.01, 1991-04-11 03:01:00,
Apr 12 1992 03.02, 1992-04-12 03:02:00,
Apr 13 1993 03.03, 1993-04-13 03:03:00,
Apr 14 1994 03.04, 1994-04-14 03:04:00,
Apr 15 1995 03.05, 1995-04-15 03:05:00,
Apr 16 1996 03.06, 1996-04-16 03:06:00,
Apr 16 1996 03.06, 1996-04-16 03:06:00,
Apr 17 1997 03.07, 1997-04-17 03:07:00,
Apr 18 1998 03.08, 1998-04-18 03:08:00,
